,DATE,EXP_YEAR,EXP_MONTH,TYPE,STRIKE,PRICE,MATURITY,TTM
46219,2014-03-31 00:00:00,2014,5,C,1.0,18.55,2014-05-16 00:00:00,0.126
46220,2014-03-31 00:00:00,2014,5,C,2.0,17.55,2014-05-16 00:00:00,0.126
46221,2014-03-31 00:00:00,2014,5,C,3.0,16.55,2014-05-16 00:00:00,0.126
46222,2014-03-31 00:00:00,2014,5,C,4.0,15.55,2014-05-16 00:00:00,0.126
46223,2014-03-31 00:00:00,2014,5,C,5.0,14.55,2014-05-16 00:00:00,0.126
46224,2014-03-31 00:00:00,2014,5,C,6.0,13.55,2014-05-16 00:00:00,0.126
46225,2014-03-31 00:00:00,2014,5,C,7.0,12.55,2014-05-16 00:00:00,0.126
46226,2014-03-31 00:00:00,2014,5,C,8.0,11.55,2014-05-16 00:00:00,0.126
46227,2014-03-31 00:00:00,2014,5,C,9.0,10.55,2014-05-16 00:00:00,0.126
46228,2014-03-31 00:00:00,2014,5,C,10.0,9.55,2014-05-16 00:00:00,0.126
46229,2014-03-31 00:00:00,2014,5,C,11.0,8.55,2014-05-16 00:00:00,0.126
46230,2014-03-31 00:00:00,2014,5,C,12.0,7.55,2014-05-16 00:00:00,0.126
46231,2014-03-31 00:00:00,2014,5,C,13.0,6.55,2014-05-16 00:00:00,0.126
46232,2014-03-31 00:00:00,2014,5,C,14.0,5.55,2014-05-16 00:00:00,0.126
46233,2014-03-31 00:00:00,2014,5,C,15.0,4.55,2014-05-16 00:00:00,0.126
46234,2014-03-31 00:00:00,2014,5,C,16.0,3.65,2014-05-16 00:00:00,0.126
46235,2014-03-31 00:00:00,2014,5,C,17.0,2.9,2014-05-16 00:00:00,0.126
46236,2014-03-31 00:00:00,2014,5,C,18.0,2.35,2014-05-16 00:00:00,0.126
46237,2014-03-31 00:00:00,2014,5,C,19.0,1.9,2014-05-16 00:00:00,0.126
46238,2014-03-31 00:00:00,2014,5,C,20.0,1.55,2014-05-16 00:00:00,0.126
46239,2014-03-31 00:00:00,2014,5,C,21.0,1.3,2014-05-16 00:00:00,0.126
46240,2014-03-31 00:00:00,2014,5,C,22.0,1.1,2014-05-16 00:00:00,0.126
46241,2014-03-31 00:00:00,2014,5,C,23.0,0.95,2014-05-16 00:00:00,0.126
46242,2014-03-31 00:00:00,2014,5,C,24.0,0.8,2014-05-16 00:00:00,0.126
46243,2014-03-31 00:00:00,2014,5,C,25.0,0.7,2014-05-16 00:00:00,0.126
46244,2014-03-31 00:00:00,2014,5,C,26.0,0.6,2014-05-16 00:00:00,0.126
46245,2014-03-31 00:00:00,2014,5,C,27.0,0.5,2014-05-16 00:00:00,0.126
46246,2014-03-31 00:00:00,2014,5,C,28.0,0.45,2014-05-16 00:00:00,0.126
46247,2014-03-31 00:00:00,2014,5,C,29.0,0.4,2014-05-16 00:00:00,0.126
46248,2014-03-31 00:00:00,2014,5,C,30.0,0.35,2014-05-16 00:00:00,0.126
46249,2014-03-31 00:00:00,2014,5,C,32.5,0.25,2014-05-16 00:00:00,0.126
46250,2014-03-31 00:00:00,2014,5,C,35.0,0.2,2014-05-16 00:00:00,0.126
46251,2014-03-31 00:00:00,2014,5,C,37.5,0.15,2014-05-16 00:00:00,0.126
46252,2014-03-31 00:00:00,2014,5,C,40.0,0.1,2014-05-16 00:00:00,0.126
46253,2014-03-31 00:00:00,2014,5,C,42.5,0.1,2014-05-16 00:00:00,0.126
46254,2014-03-31 00:00:00,2014,5,C,45.0,0.05,2014-05-16 00:00:00,0.126
46255,2014-03-31 00:00:00,2014,5,C,47.5,0.05,2014-05-16 00:00:00,0.126
46256,2014-03-31 00:00:00,2014,5,C,50.0,0.05,2014-05-16 00:00:00,0.126
46257,2014-03-31 00:00:00,2014,5,C,55.0,0.05,2014-05-16 00:00:00,0.126
46258,2014-03-31 00:00:00,2014,5,C,60.0,0.05,2014-05-16 00:00:00,0.126
46259,2014-03-31 00:00:00,2014,5,C,65.0,0.05,2014-05-16 00:00:00,0.126
46260,2014-03-31 00:00:00,2014,5,C,70.0,0.05,2014-05-16 00:00:00,0.126
46261,2014-03-31 00:00:00,2014,5,C,75.0,0.05,2014-05-16 00:00:00,0.126
46262,2014-03-31 00:00:00,2014,5,C,80.0,0.05,2014-05-16 00:00:00,0.126
46263,2014-03-31 00:00:00,2014,5,C,85.0,0.05,2014-05-16 00:00:00,0.126
46264,2014-03-31 00:00:00,2014,5,C,90.0,0.05,2014-05-16 00:00:00,0.126
46265,2014-03-31 00:00:00,2014,5,C,95.0,0.05,2014-05-16 00:00:00,0.126
46266,2014-03-31 00:00:00,2014,5,C,100.0,0.05,2014-05-16 00:00:00,0.126
46267,2014-03-31 00:00:00,2014,5,C,105.0,0.05,2014-05-16 00:00:00,0.126
46317,2014-03-31 00:00:00,2014,7,C,1.0,19.4,2014-07-18 00:00:00,0.299
46318,2014-03-31 00:00:00,2014,7,C,2.0,18.4,2014-07-18 00:00:00,0.299
46319,2014-03-31 00:00:00,2014,7,C,3.0,17.4,2014-07-18 00:00:00,0.299
46320,2014-03-31 00:00:00,2014,7,C,4.0,16.4,2014-07-18 00:00:00,0.299
46321,2014-03-31 00:00:00,2014,7,C,5.0,15.4,2014-07-18 00:00:00,0.299
46322,2014-03-31 00:00:00,2014,7,C,6.0,14.4,2014-07-18 00:00:00,0.299
46323,2014-03-31 00:00:00,2014,7,C,7.0,13.4,2014-07-18 00:00:00,0.299
46324,2014-03-31 00:00:00,2014,7,C,8.0,12.4,2014-07-18 00:00:00,0.299
46325,2014-03-31 00:00:00,2014,7,C,9.0,11.4,2014-07-18 00:00:00,0.299
46326,2014-03-31 00:00:00,2014,7,C,10.0,10.4,2014-07-18 00:00:00,0.299
46327,2014-03-31 00:00:00,2014,7,C,11.0,9.4,2014-07-18 00:00:00,0.299
46328,2014-03-31 00:00:00,2014,7,C,12.0,8.4,2014-07-18 00:00:00,0.299
46329,2014-03-31 00:00:00,2014,7,C,13.0,7.4,2014-07-18 00:00:00,0.299
46330,2014-03-31 00:00:00,2014,7,C,14.0,6.45,2014-07-18 00:00:00,0.299
46331,2014-03-31 00:00:00,2014,7,C,15.0,5.5,2014-07-18 00:00:00,0.299
46332,2014-03-31 00:00:00,2014,7,C,16.0,4.65,2014-07-18 00:00:00,0.299
46333,2014-03-31 00:00:00,2014,7,C,17.0,3.95,2014-07-18 00:00:00,0.299
46334,2014-03-31 00:00:00,2014,7,C,18.0,3.3,2014-07-18 00:00:00,0.299
46335,2014-03-31 00:00:00,2014,7,C,19.0,2.85,2014-07-18 00:00:00,0.299
46336,2014-03-31 00:00:00,2014,7,C,20.0,2.4,2014-07-18 00:00:00,0.299
46337,2014-03-31 00:00:00,2014,7,C,21.0,2.1,2014-07-18 00:00:00,0.299
46338,2014-03-31 00:00:00,2014,7,C,22.0,1.8,2014-07-18 00:00:00,0.299
46339,2014-03-31 00:00:00,2014,7,C,23.0,1.55,2014-07-18 00:00:00,0.299
46340,2014-03-31 00:00:00,2014,7,C,24.0,1.4,2014-07-18 00:00:00,0.299
46341,2014-03-31 00:00:00,2014,7,C,25.0,1.2,2014-07-18 00:00:00,0.299
46342,2014-03-31 00:00:00,2014,7,C,26.0,1.05,2014-07-18 00:00:00,0.299
46343,2014-03-31 00:00:00,2014,7,C,27.0,0.95,2014-07-18 00:00:00,0.299
46344,2014-03-31 00:00:00,2014,7,C,28.0,0.85,2014-07-18 00:00:00,0.299
46345,2014-03-31 00:00:00,2014,7,C,29.0,0.75,2014-07-18 00:00:00,0.299
46346,2014-03-31 00:00:00,2014,7,C,30.0,0.7,2014-07-18 00:00:00,0.299
46347,2014-03-31 00:00:00,2014,7,C,32.5,0.5,2014-07-18 00:00:00,0.299
46348,2014-03-31 00:00:00,2014,7,C,35.0,0.4,2014-07-18 00:00:00,0.299
46349,2014-03-31 00:00:00,2014,7,C,37.5,0.3,2014-07-18 00:00:00,0.299
46350,2014-03-31 00:00:00,2014,7,C,40.0,0.25,2014-07-18 00:00:00,0.299
46351,2014-03-31 00:00:00,2014,7,C,42.5,0.2,2014-07-18 00:00:00,0.299
46352,2014-03-31 00:00:00,2014,7,C,45.0,0.15,2014-07-18 00:00:00,0.299
46353,2014-03-31 00:00:00,2014,7,C,47.5,0.1,2014-07-18 00:00:00,0.299
46354,2014-03-31 00:00:00,2014,7,C,50.0,0.1,2014-07-18 00:00:00,0.299
46355,2014-03-31 00:00:00,2014,7,C,55.0,0.05,2014-07-18 00:00:00,0.299
46356,2014-03-31 00:00:00,2014,7,C,60.0,0.05,2014-07-18 00:00:00,0.299
46357,2014-03-31 00:00:00,2014,7,C,65.0,0.05,2014-07-18 00:00:00,0.299
46358,2014-03-31 00:00:00,2014,7,C,70.0,0.05,2014-07-18 00:00:00,0.299
46359,2014-03-31 00:00:00,2014,7,C,75.0,0.05,2014-07-18 00:00:00,0.299
46360,2014-03-31 00:00:00,2014,7,C,80.0,0.05,2014-07-18 00:00:00,0.299
46361,2014-03-31 00:00:00,2014,7,C,85.0,0.05,2014-07-18 00:00:00,0.299
46362,2014-03-31 00:00:00,2014,7,C,90.0,0.05,2014-07-18 00:00:00,0.299
46363,2014-03-31 00:00:00,2014,7,C,95.0,0.05,2014-07-18 00:00:00,0.299
46364,2014-03-31 00:00:00,2014,7,C,100.0,0.05,2014-07-18 00:00:00,0.299
46365,2014-03-31 00:00:00,2014,7,C,105.0,0.05,2014-07-18 00:00:00,0.299
